SubjectID,Ps1 Major1 Code,Ps1 Major2 Code,Ps2 Major1 Code,Ps2 Major2 Code
172877093,2,1,0,0
175693463,2,1,0,0
178556669,2,1,0,0
178638092,2,1,0,0
179310860,2,1,0,0
179342324,2,1,0,0
179560952,2,1,0,0
179738225,2,1,0,0
179860085,2,1,0,0
180716948,2,1,0,0
180765215,2,1,0,0
181015370,2,2,0,0
181406645,2,1,0,0
181500533,1,2,0,0
181912265,3,2,0,0
182377367,2,1,0,0
182385854,2,2,0,0
182956085,2,1,1,1
182993300,2,1,0,0
183070133,2,1,0,0
183184676,2,1,0,0
183206033,2,1,0,0
183391667,2,1,0,0
183960116,2,1,0,0
184249700,3,2,0,0
184325219,1,2,0,0
184379912,2,1,0,0
184437764,2,1,0,0
184455521,2,1,0,0
184465475,2,1,0,0
184578812,2,1,0,0
184617278,2,1,0,0
184659254,2,1,0,0
184875092,2,1,0,0
185046929,3,2,0,0
185128280,2,2,0,0
185230286,2,1,0,0
185303258,2,1,0,0
185458175,2,1,0,0
185475158,2,1,0,0
185486345,2,1,0,0
185617232,2,2,0,0
185636627,2,1,0,0
185799950,2,1,0,0
185826671,2,1,0,0
185843816,2,1,0,0
185852240,2,1,0,0
185891723,2,1,1,1
185902973,2,1,0,0
185948342,2,1,0,0
185956577,4,2,0,0
185993387,2,1,0,0
185999264,2,1,0,0
186011054,2,1,0,0
186012926,2,1,0,0
186049520,2,1,0,0
186084269,4,2,0,0
186113735,2,2,0,0
186160346,2,1,0,0
186173774,2,2,1,1
186187193,2,1,0,0
186190568,2,1,0,0
186221267,2,1,0,0
186321734,2,1,0,0
186343892,3,2,0,0
186437573,2,1,0,0
186437726,2,1,0,0
186437780,2,1,1,1
186481961,2,1,0,0
186513308,2,1,0,0
186542774,2,1,0,0
186694325,2,1,0,0
186706313,2,1,0,0
186768953,2,2,0,0
186791849,2,1,0,0
186793352,1,2,0,0
186845984,2,2,0,0
186882731,2,1,0,0
186883622,2,1,0,0
186946541,2,1,0,0
187034534,2,1,0,0
187043390,2,1,0,0
187075556,2,2,0,0
187116722,2,1,0,0
187269974,3,2,0,0
187275041,1,1,2,1
187290557,2,1,0,0
187315910,2,1,0,0
187315973,2,1,0,0
187336277,2,1,0,0
187349219,2,1,0,0
187376741,2,1,0,0
187387991,2,1,0,0
187394354,2,1,0,0
187409771,2,1,0,0
187451459,2,1,0,0
187454321,2,1,0,0
187518905,2,1,0,0
187534394,2,1,0,0
187552880,2,1,0,0
187557614,3,2,0,0
187578260,2,1,0,0
187581275,2,1,0,0
187623431,2,1,1,1
187651844,2,1,0,0
187877150,2,1,0,0
187895582,3,2,0,0
187901081,2,1,0,0
187920341,1,1,2,1
188011160,2,1,0,0
188013131,2,1,1,1
188014175,2,1,0,0
188015192,2,1,0,0
188023211,2,2,0,0
188023427,2,1,0,0
188024588,2,1,0,0
188026865,2,1,0,0
188035559,1,2,0,0
188035622,3,2,0,0
188041094,2,1,0,0
188041643,2,1,0,0
188043857,2,1,0,0
188045027,2,1,0,0
188045423,2,1,0,0
188056205,2,1,0,0
188058851,2,1,0,0
188067977,2,2,0,0
188073323,2,1,1,1
188074880,2,2,0,0
188075771,2,3,0,0
188077706,2,1,0,0
188078390,3,2,0,0
188081207,2,1,0,0
188081765,2,1,0,0
188085914,2,1,1,1
188093870,2,2,0,0
188097866,2,1,0,0
188102726,2,1,0,0
188103671,2,1,0,0
188104013,2,1,0,0
188107055,2,1,0,0
188109233,2,1,0,0
188110061,2,1,0,0
188111969,2,1,0,0
188126720,2,2,0,0
188128718,2,1,0,0
188129177,2,1,0,0
188134523,2,1,0,0
188141930,2,2,0,0
