SubjectID,Ps1 Major1 Code,Ps1 Major2 Code,Ps2 Major1 Code,Ps2 Major2 Code
175397669,3,1,0,0
176716079,3,1,0,0
178686296,3,1,0,0
178744463,3,1,0,0
179485433,3,1,0,0
179785178,3,1,0,0
181661192,3,1,0,0
181727891,3,1,0,0
181912265,3,2,0,0
182072276,3,1,0,0
182274137,3,1,0,0
182984048,3,1,0,0
183446018,3,1,0,0
184249700,3,2,0,0
184584500,3,1,0,0
184988033,3,1,0,0
185046929,3,2,0,0
185530616,3,1,0,0
186011882,3,1,0,0
186014555,3,1,0,0
186343892,3,2,0,0
186674786,3,1,0,0
187076483,3,1,1,1
187164377,3,1,0,0
187186553,3,1,0,0
187208153,3,1,0,0
187267364,3,1,0,0
187269974,3,2,0,0
187557614,3,2,0,0
187594028,3,1,0,0
187620209,3,1,0,0
187692371,3,1,0,0
187877366,3,1,0,0
187895582,3,2,0,0
188035622,3,2,0,0
188075771,2,3,0,0
188078390,3,2,0,0
188159750,3,2,0,0
188193662,3,1,0,0
188221013,3,1,0,0
188233919,3,1,0,0
188283779,3,1,0,0
188291798,3,1,0,0
188308826,3,1,0,0
188353025,3,1,0,0
188356778,3,2,0,0
188357948,3,1,0,0
188396882,3,1,0,0
188408798,3,1,0,0
188432243,3,1,1,1
188485856,3,1,0,0
188505584,3,2,0,0
188553482,3,1,0,0
188575847,3,1,1,1
188577962,3,1,0,0
188582543,3,1,0,0
188593514,3,1,0,0
188597969,3,1,0,0
188598248,3,1,0,0
188612783,3,1,1,1
188613206,3,1,0,0
188629154,3,1,1,1
188646569,3,2,0,0
188650007,3,1,0,0
188653427,3,3,0,0
188670203,2,3,0,0
188681444,2,3,0,0
188690084,3,1,0,0
188705501,3,1,0,0
188742923,3,1,0,0
188743355,2,3,0,0
188764955,3,2,0,0
188765630,3,1,0,0
188768645,3,2,0,0
188791748,3,1,0,0
188792027,3,2,1,1
188802368,3,1,0,0
188831348,3,1,0,0
188834912,3,1,1,1
188839799,3,1,0,0
188849996,3,1,0,0
188866250,3,1,1,1
188870003,3,2,0,0
188888642,3,1,0,0
188903852,3,1,1,1
188919152,3,1,0,0
188925668,3,2,0,0
188946440,3,1,0,0
188972621,3,1,0,0
188972963,3,1,0,0
188973233,3,1,0,0
189013877,3,1,0,0
189074186,3,1,0,0
189099413,3,2,0,0
189102491,3,2,0,0
189122516,3,1,0,0
189133487,3,1,0,0
189164087,3,1,0,0
189197333,3,1,0,0
189202067,3,1,0,0
189278351,3,1,0,0
189407123,3,2,0,0
189544544,3,1,0,0
189551339,3,1,0,0
189597275,3,2,0,0
189605348,3,1,0,0
189669167,3,1,0,0
189696842,3,2,0,0
189706643,3,2,0,0
189710855,1,1,1,3
189737369,3,2,0,0
189775007,3,1,0,0
189792269,3,1,0,0
189818234,3,1,0,0
